nan,nan,nan,0.01
1.2415131603931395e+110,1.2415131603931395e+110,1.2415131603931395e+110,0.42
6.560528641302335e+101,6.560528641302335e+101,6.560528641302335e+101,0.83
4.029649462461098e+94,4.029649462461098e+94,4.029649462461098e+94,1.24
2.4834837138930517e+88,2.4834837138930517e+88,2.4834837138930517e+88,1.65
6.735547039886885e+82,6.735547039886885e+82,6.735547039886885e+82,2.07
3.746473798693669e+77,3.746473798693669e+77,3.746473798693669e+77,2.49
3.927557698437959e+72,3.927557698437959e+72,3.927557698437959e+72,2.91
1.2975141764914353e+68,1.2975141764914353e+68,1.2975141764914353e+68,3.31
6.318375952700263e+63,6.318375952700263e+63,6.318375952700263e+63,3.73
4.81259582779747e+59,4.81259582779747e+59,4.81259582779747e+59,4.15
6.269019398722696e+55,6.269019398722696e+55,6.269019398722696e+55,4.58
1.0663300284788853e+52,1.0663300284788853e+52,1.0663300284788853e+52,5.0
3.080849945572886e+48,3.080849945572886e+48,3.080849945572886e+48,5.42
1.4123184464779947e+45,1.4123184464779947e+45,1.4123184464779947e+45,5.82
8.753454310322305e+41,8.753454310322305e+41,8.753454310322305e+41,6.23
7.237412161780991e+38,7.237412161780991e+38,7.237412161780991e+38,6.62
8.016385143081795e+35,8.016385143081795e+35,8.016385143081795e+35,7.02
1.288311639368584e+33,1.288311639368584e+33,1.288311639368584e+33,7.43
2.8200945854803354e+30,2.8200945854803354e+30,2.8200945854803354e+30,7.83
8.193813667873808e+27,8.193813667873808e+27,8.193813667873808e+27,8.23
3.399833699351596e+25,3.399833699351596e+25,3.399833699351596e+25,8.64
1.7718237984644988e+23,1.7718237984644988e+23,1.7718237984644988e+23,9.04
1.1875668928638644e+21,1.1875668928638644e+21,1.1875668928638644e+21,9.43
1.020968959354505e+19,1.020968959354505e+19,1.020968959354505e+19,9.82
1.2192010261015608e+17,1.2192010261015608e+17,1.2192010261015608e+17,10.22
2032501781700888.5,2032501781700888.5,2032501781700888.5,10.62
40496400419955.85,40496400419955.85,40496400419955.85,11.01
1115740915661.7266,1115740915661.7263,1115740915661.7263,11.41
36740696973.99128,36740696973.99003,36740696973.990005,11.81
1574139709.5242364,1574139709.5201538,1574139709.5200636,12.19
86818597.31263335,86818597.30029413,86818597.30001213,12.59
5954087.466326136,5954087.433648483,5954087.432870065,12.99
527876.399902071,527876.3215420487,527876.3195862125,13.4
56688.01247158842,56687.83972870237,56687.835177604415,13.78
7744.254974171026,7743.930891405337,7743.92180763648,14.18
1295.932151617309,1295.40157853045,1295.3855868068458,14.57
268.00703585196544,267.1650680991801,267.1374629240954,14.95
66.1751376025404,64.98777879814689,64.94476967577862,15.36
20.871875161939013,19.362632797310148,19.30142795493959,15.75
8.771161057284909,7.024547488696524,6.943745888544098,16.14
5.07737660576181,3.1962726377569535,3.0947218880224163,16.54
3.7720973101425415,1.8774982718183846,1.7552062102414947,16.92
3.1617796863295515,1.375730533003036,1.2345135528780262,17.31
2.7418387181014667,1.159876505564187,1.0033685441761508,17.7
2.4484297536734543,1.0732311233473482,0.9001862385460666,18.09
2.145594247843567,1.0101582533012063,0.8269897743881882,18.47
1.9467322397724767,0.990017098537642,0.7930059512724081,18.85
1.8138773594485562,0.9881157972387057,0.7755590593644923,19.24
1.4186429057683703,1.0578144119003572,0.7761480245499986,19.62
1.334941820066032,1.070873183215331,0.7969276581333006,20.01
1.2321520179909486,1.0405022241742572,0.7867060545969408,20.39
1.2237300575040866,1.068321706257617,0.8189571651995038,20.78
1.1752389925440838,1.0714835726639957,0.8368898846352162,21.18
1.1633787970870828,1.0416321669669093,0.8156211959851225,21.57
1.2011312913801995,1.0584354584192737,0.8311508126410477,21.96
1.2196964550743774,1.0590994875289004,0.8341208852402637,22.35
1.2058614711593334,1.0362883708567496,0.8193139211393016,22.76
1.2408442842764027,1.0566169702201234,0.837976278677581,23.15
1.2126317717360786,1.025884642643972,0.8170105115250099,23.55
1.2439970940244705,1.045035196404604,0.8350925495426136,23.94
1.2631719147087785,1.0546895996671315,0.8458713121408351,24.33
1.2516929401401664,1.039831230797366,0.8373993072781325,24.74
1.258281870974201,1.0399363166870237,0.8407885716266181,25.13
1.2554310793803034,1.0334014388756008,0.8387484333899357,25.52
1.2544066171804227,1.0292156450021224,0.8386117767485395,25.92
1.2755937416576877,1.0420780929777362,0.852126414128428,26.31
1.265318231148325,1.0303967537240888,0.845907588900939,26.71
1.2808880682053492,1.0399780351908792,0.8567883574359009,27.12
1.2925019274062464,1.0463382784169246,0.8651738198022823,27.51
1.2978749041476725,1.0472685394282495,0.8692787261462738,27.9
1.3025370879321518,1.0490121395289704,0.873981240384154,28.3
1.2812694392676929,1.0303167243957487,0.8617468503472097,28.69
1.2871852177292502,1.033905179544598,0.8677722478875919,29.1
1.3065641833520758,1.0474712608059429,0.8820724410137535,29.49
1.2743374884508698,1.0207805775069088,0.8628800158348459,29.87
1.2875981218299062,1.0298444842261452,0.8733996809549815,30.29
1.312936801217032,1.048884293114047,0.892347424090324,30.71
1.276780133143855,1.0195482671533416,0.8705687343276425,31.11
1.2906597291730075,1.0298710396009847,0.8820228966742081,31.51
1.3213404226822862,1.05362369800986,0.9049717988376466,31.9
1.2781576697964403,1.019735730919707,0.8788849486746984,32.29
1.2984756360439067,1.0354781839012916,0.8949725723441931,32.69
1.3148050266351752,1.0482071568556226,0.9085749623111521,33.08
1.278108884319142,1.0193607363473585,0.8864272979495589,33.47
1.3217815617550523,1.0540124760451213,0.9188446730518443,33.88
1.2947184940883236,1.0335051510381654,0.903635928039313,34.28
