                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8991,                 4.1056,                 1.3186,                0.00333,                      1,                0.84438,                0.35633,                 1.4945,                 4.1012,                 1.0374,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.3025,                 1.9867,                 1.1223,                0.00333,                      1,                0.30915,                0.06673,                 1.2141,                 3.9647,                 1.0146,             0.00061386,             0.00061386,             0.00061386
                      3,                 1.3005,                  1.767,                 1.1134,                0.00333,                      1,                0.41885,                0.23248,                 1.1216,                  3.631,                0.99208,             0.00092139,             0.00092139,             0.00092139
                      4,                 1.2572,                  1.561,                 1.0917,                      1,                0.41426,                0.61673,                0.45304,                 1.0324,                 3.2946,                 1.0524,              0.0012226,              0.0012226,              0.0012226
                      5,                 1.1983,                 1.3684,                 1.0614,                      1,                 0.9667,                  0.995,                0.70199,                 1.0653,                 1.5902,                 1.0126,              0.0015174,              0.0015174,              0.0015174
                      6,                 1.2039,                 1.3509,                 1.0749,                0.99729,                      1,                  0.995,                0.72945,                 1.0351,                 1.1936,                 1.0179,               0.001806,               0.001806,               0.001806
                      7,                 1.1835,                 1.1804,                 1.0473,                0.99657,                      1,                  0.995,                0.71233,                  1.054,                0.95726,                 1.0097,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.186,                 1.1445,                 1.0579,                0.99889,                      1,                  0.995,                0.69757,                 1.0111,                0.80311,                0.97668,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1318,                0.98275,                 1.0495,                0.99839,                      1,                  0.995,                0.74302,                0.97487,                0.78537,                0.96295,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.101,                0.92028,                 1.0223,                0.99895,                      1,                  0.995,                0.75219,                0.94078,                 0.7076,                0.95041,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1189,                 0.8868,                 1.0552,                0.99894,                      1,                  0.995,                0.73153,                 1.0084,                0.77151,                0.96612,               0.001802,               0.001802,               0.001802
                     12,                 1.0274,                0.80792,                 1.0103,                0.99905,                      1,                  0.995,                0.72399,                 1.0066,                0.81953,                0.98109,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0791,                 0.8132,                 1.0083,                0.99877,                      1,                  0.995,                0.74975,                0.93315,                0.77106,                0.94915,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1122,                0.76294,                 1.0443,                0.99829,                      1,                  0.995,                0.71473,                 1.0359,                0.77551,                0.99138,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0851,                0.74291,                 1.0337,                0.99779,                      1,                  0.995,                0.75186,                0.93084,                0.66574,                0.94453,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0764,                0.69332,                 1.0211,                0.99895,                      1,                  0.995,                0.73955,                0.96525,                0.54318,                0.95528,               0.001703,               0.001703,               0.001703
                     17,                 1.0435,                0.66775,                 1.0153,                 0.9989,                      1,                  0.995,                0.76119,                0.96219,                0.52807,                0.96033,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0549,                0.65262,                 1.0316,                 0.9986,                      1,                  0.995,                0.75253,                0.96833,                0.51974,                0.98054,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0403,                0.65324,                 1.0084,                0.99894,                      1,                  0.995,                0.73694,                0.96665,                0.49467,                0.98735,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0262,                0.63555,                  1.026,                0.99885,                      1,                  0.995,                0.70795,                 1.1118,                0.51144,                  1.043,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0311,                0.64997,                 1.0294,                0.99855,                      1,                  0.995,                0.74241,                0.96241,                0.49085,                0.96441,               0.001604,               0.001604,               0.001604
                     22,                  1.077,                0.63701,                 1.0225,                0.99845,                      1,                  0.995,                0.78402,                0.88085,                0.48141,                0.94057,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0335,                0.59045,                0.99931,                 0.9988,                      1,                  0.995,                0.75878,                0.92078,                0.46772,                0.95468,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0362,                0.58136,                 1.0189,                0.99818,                      1,                  0.995,                0.75016,                0.94891,                 0.4677,                0.95799,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0683,                0.61696,                 1.0322,                0.99884,                      1,                  0.995,                0.74678,                 1.0064,                0.49305,                0.97728,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0135,                0.59433,                 1.0101,                0.99891,                      1,                  0.995,                0.73191,                 1.0029,                0.51226,                0.99866,               0.001505,               0.001505,               0.001505
                     27,                 1.0064,                0.57879,                 1.0059,                0.98517,                0.94899,                0.99289,                0.69575,                 1.1903,                 1.1356,                 1.0473,              0.0014852,              0.0014852,              0.0014852
                     28,                0.98651,                0.53957,                 0.9959,                 0.9985,                      1,                  0.995,                0.74672,                0.94742,                0.44877,                0.96108,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0488,                0.57772,                 1.0152,                0.99878,                      1,                  0.995,                0.76146,                0.92526,                0.43414,                0.97225,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0191,                 0.5572,                 1.0104,                 0.9983,                      1,                  0.995,                0.76172,                0.91424,                0.43116,                0.95696,              0.0014258,              0.0014258,              0.0014258
                     31,                0.98454,                0.53438,                0.99618,                0.99819,                      1,                  0.995,                 0.7436,                 0.9712,                0.42365,                0.95851,               0.001406,               0.001406,               0.001406
