                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9269,                 4.3243,                 1.3303,                0.00333,                      1,                0.26004,                0.13699,                 1.3447,                 4.2033,                 1.0338,                0.00016,                0.00016,                0.00016
                      2,                 1.5241,                 2.6303,                 1.1313,                0.00333,                      1,                0.99211,                0.59632,                 1.2241,                 4.0124,                0.95716,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.3089,                 2.0549,                 1.1053,                0.00333,                      1,                0.02908,                0.01705,                 1.1844,                 3.9831,                 1.0104,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.1983,                 1.6024,                 1.0592,                0.00333,                      1,                0.00717,                 0.0038,                 1.1721,                 3.9452,                 1.0377,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.2202,                  1.524,                 1.0576,                0.00333,                      1,                0.02747,                0.01807,                 1.1136,                 3.6317,                 1.0606,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.2114,                  1.396,                 1.0532,                      1,                0.82377,                  0.995,                 0.7549,                0.98135,                 3.1166,                 1.0099,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.1689,                 1.3799,                 1.0618,                      1,                0.68879,                  0.995,                0.70689,                 1.0517,                 2.7806,                 1.0736,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.1146,                 1.2962,                 1.0546,                 0.9928,                      1,                  0.995,                0.65927,                 1.1663,                 2.1536,                 1.0553,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.1646,                 1.3918,                 1.0329,                0.99019,                      1,                  0.995,                0.70104,                 1.0908,                 1.8454,                 1.0487,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.0827,                 1.1848,                 1.0169,                0.99713,                      1,                  0.995,                0.65755,                 1.2009,                 1.2203,                 1.0878,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.1032,                 1.2456,                 1.0327,                0.99751,                      1,                  0.995,                0.71729,                 1.0033,                 1.0709,                 1.0073,               0.001766,               0.001766,               0.001766
                     12,                 1.0838,                 1.1591,                  1.032,                0.99834,                      1,                  0.995,                0.72673,                 1.0397,                0.82626,                 1.0473,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0961,                 1.0412,                 1.0364,                0.99856,                      1,                  0.995,                0.72097,                 1.0426,                0.91624,                 1.0668,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1093,                 1.0217,                 1.0417,                0.99851,                      1,                  0.995,                0.72906,                 1.0637,                0.87584,                 1.0791,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0741,                  0.941,                 1.0029,                0.99793,                      1,                  0.995,                0.73793,                0.99913,                0.81405,                 1.0378,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0143,                 0.9085,                0.99238,                0.99767,                      1,                  0.995,                0.71864,                0.98989,                0.98064,                 1.0276,               0.001703,               0.001703,               0.001703
                     17,                 1.0642,                0.94538,                 1.0361,                0.99848,                      1,                  0.995,                0.69684,                 1.0165,                0.90195,                 1.0617,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.048,                0.89132,                 1.0159,                0.99837,                      1,                  0.995,                0.71075,                 1.0321,                0.89847,                 1.0651,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1028,                0.90338,                 1.0591,                0.99848,                      1,                  0.995,                0.73501,                0.96979,                0.83751,                0.98735,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.058,                 0.9453,                  1.033,                0.99843,                      1,                  0.995,                0.66017,                 1.0768,                0.79331,                 1.0403,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1239,                0.82762,                 1.0443,                0.99688,                      1,                  0.995,                0.74336,                0.96835,                0.75998,                0.98578,               0.001604,               0.001604,               0.001604
                     22,                 1.0804,                0.79785,                0.99908,                0.99837,                      1,                  0.995,                0.71569,                 1.1113,                0.74912,                 1.0419,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1039,                 0.8101,                 1.0184,                 0.9984,                      1,                  0.995,                0.72426,                 1.0006,                0.77125,                  1.009,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0648,                0.80663,                 1.0114,                0.99808,                      1,                  0.995,                 0.7288,                 0.9977,                0.72234,                0.99653,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0542,                0.80851,                 1.0355,                0.99845,                      1,                  0.995,                0.73017,                 1.0333,                0.69943,                 1.0135,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0593,                0.71316,                 1.0032,                0.99855,                      1,                  0.995,                0.72989,                0.97348,                0.62376,                0.97832,               0.001505,               0.001505,               0.001505
                     27,                 1.0148,                0.69341,                0.98762,                0.99829,                      1,                  0.995,                0.73308,                0.98018,                0.62927,                0.97717,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0599,                0.69704,                 1.0039,                0.99787,                      1,                  0.995,                0.71408,                 1.0762,                0.66566,                 1.0207,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0293,                0.70783,                0.99595,                0.99852,                      1,                  0.995,                0.73191,                 1.0387,                0.67127,                 1.0112,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0339,                 0.7027,                 1.0318,                0.99828,                      1,                  0.995,                0.70159,                 1.1279,                 0.6499,                 1.0494,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.027,                 0.6931,                 1.0195,                 0.9983,                      1,                  0.995,                0.71655,                 1.0431,                0.59104,                  1.003,               0.001406,               0.001406,               0.001406
                     32,                 1.0839,                0.70605,                 1.0372,                0.99818,                      1,                  0.995,                0.69626,                 1.0533,                0.60028,                 1.0144,              0.0013862,              0.0013862,              0.0013862
                     33,                0.97397,                0.63356,                0.98664,                0.99787,                      1,                  0.995,                0.72528,                0.98912,                0.54903,                0.98672,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0102,                0.65556,                 0.9927,                0.99792,                      1,                  0.995,                0.73327,                0.99133,                0.49896,                0.98987,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0141,                0.65708,                0.99785,                0.99813,                      1,                  0.995,                0.73656,                 1.0204,                0.48906,                 1.0082,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0197,                0.62501,                0.98786,                0.99735,                      1,                  0.995,                0.75174,                0.98778,                0.54073,                0.98701,               0.001307,               0.001307,               0.001307
                     37,                 1.0413,                0.62649,                 1.0179,                 0.9975,                      1,                  0.995,                0.74415,                0.98701,                0.50217,                0.98275,              0.0012872,              0.0012872,              0.0012872
                     38,                0.99053,                0.59604,                 1.0195,                 0.9982,                      1,                  0.995,                0.74451,                0.94914,                0.46449,                0.96713,              0.0012674,              0.0012674,              0.0012674
                     39,                0.99764,                0.59473,                0.98179,                0.99779,                      1,                  0.995,                0.73674,                 1.0543,                0.60968,                 1.0196,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0607,                0.62399,                 1.0291,                0.97097,                      1,                0.99451,                0.74475,                0.99995,                 0.6109,                 1.0048,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0449,                0.61883,                  1.008,                0.98966,                      1,                  0.995,                0.71568,                 1.0483,                0.58402,                 1.0167,               0.001208,               0.001208,               0.001208
                     42,                 0.9602,                0.57334,                0.99528,                0.99829,                      1,                  0.995,                0.73928,                 1.0473,                 0.5113,                 1.0104,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.054,                0.58742,                 1.0247,                0.99831,                      1,                  0.995,                0.73856,                 1.0029,                0.46291,                0.99227,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.016,                0.60113,                 1.0025,                0.99819,                      1,                  0.995,                0.76892,                0.92817,                0.42604,                0.96889,              0.0011486,              0.0011486,              0.0011486
                     45,                0.99261,                0.57553,                0.98012,                0.99799,                      1,                  0.995,                0.74992,                0.91728,                0.43028,                0.97023,              0.0011288,              0.0011288,              0.0011288
                     46,                0.97572,                0.55143,                0.98698,                0.99807,                      1,                  0.995,                0.74234,                0.95075,                0.45061,                0.98666,               0.001109,               0.001109,               0.001109
                     47,                0.96787,                0.56569,                0.97954,                0.99711,                      1,                  0.995,                0.75153,                0.95457,                0.48384,                 0.9839,              0.0010892,              0.0010892,              0.0010892
                     48,                0.98908,                0.55393,                0.99064,                0.99738,                      1,                  0.995,                 0.7757,                0.91971,                0.46466,                0.95911,              0.0010694,              0.0010694,              0.0010694
                     49,                0.99956,                0.58059,                 1.0106,                0.99749,                      1,                  0.995,                0.73466,                0.96105,                0.47681,                0.97428,              0.0010496,              0.0010496,              0.0010496
                     50,                0.95791,                0.54656,                0.97407,                0.99769,                      1,                  0.995,                0.73783,                0.98645,                0.46763,                 0.9779,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0044,                0.55279,                0.99388,                0.99814,                      1,                  0.995,                0.75242,                0.99595,                0.44596,                 0.9809,                0.00101,                0.00101,                0.00101
                     52,                0.92794,                0.52197,                0.96231,                0.99817,                      1,                  0.995,                0.76483,                0.91348,                0.40801,                0.96625,              0.0009902,              0.0009902,              0.0009902
                     53,                0.98951,                0.52568,                0.97898,                0.99835,                      1,                  0.995,                0.74499,                0.98873,                  0.416,                0.99257,              0.0009704,              0.0009704,              0.0009704
                     54,                0.96215,                0.50959,                0.98834,                0.99833,                      1,                  0.995,                 0.7386,                 1.0155,                0.43973,                0.99826,              0.0009506,              0.0009506,              0.0009506
                     55,                0.99756,                0.50848,                0.99437,                0.99841,                      1,                  0.995,                0.76433,                0.91435,                0.41071,                 0.9633,              0.0009308,              0.0009308,              0.0009308
                     56,                0.95773,                0.53676,                0.97048,                0.99841,                      1,                  0.995,                0.76468,                  0.882,                0.42312,                0.95837,               0.000911,               0.000911,               0.000911
                     57,                 1.0009,                0.54324,                 1.0139,                 0.9984,                      1,                  0.995,                0.75298,                0.89274,                0.41129,                0.95939,              0.0008912,              0.0008912,              0.0008912
