                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6723,                 3.6815,                 1.1854,                0.00333,                      1,                0.76974,                0.33805,                 1.5476,                 4.2004,                 1.0433,                0.00034,                0.00034,                0.00034
                      2,                 1.2989,                 2.1973,                 1.1019,                0.00333,                      1,                0.00845,                0.00611,                 0.9381,                 4.0585,                0.99232,             0.00069307,             0.00069307,             0.00069307
                      3,                 1.2218,                 1.7712,                 1.0628,                 0.0028,                0.83951,                0.12696,                0.09074,                 1.4414,                  4.507,                 1.3538,               0.001039,               0.001039,               0.001039
                      4,                 1.1468,                 1.4301,                 1.0331,                      1,                0.05948,                0.46647,                0.31143,                 1.5843,                 3.7145,                 1.5644,              0.0013778,              0.0013778,              0.0013778
                      5,                 1.1488,                 1.3471,                   1.04,                0.00021,                0.06173,                0.01511,                0.00906,                 2.1187,                 5.0693,                 2.2255,              0.0017095,              0.0017095,              0.0017095
                      6,                 1.1748,                 1.2654,                  1.048,                  4e-05,                0.01235,                  2e-05,                  1e-05,                 2.3677,                 5.8006,                 2.9072,               0.001901,               0.001901,               0.001901
                      7,                 1.1197,                 1.2486,                 1.0445,                0.00012,                0.03704,                  7e-05,                  2e-05,                 2.2656,                 8.2209,                 2.7992,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1575,                 1.1036,                 1.0652,                0.73242,                0.37175,                0.39084,                0.22757,                  1.973,                 3.0642,                 1.9814,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1329,                 1.0352,                  1.034,                0.93164,                0.93827,                0.98075,                0.69775,                0.99247,                0.96186,                 0.9968,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0798,                0.97508,                 1.0302,                0.98713,                0.94693,                0.98747,                0.70336,                 1.0129,                0.75383,                 1.0012,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0992,                0.89202,                 1.0503,                0.98391,                      1,                0.99463,                0.74398,                0.98165,                0.75759,                0.97077,               0.001802,               0.001802,               0.001802
                     12,                 1.1121,                0.86678,                 1.0571,                0.83674,                 0.5695,                0.82379,                0.56449,                  1.164,                 2.1926,                 1.1698,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0722,                0.82474,                 1.0234,                0.99295,                0.95062,                0.98362,                0.72893,                0.92866,                0.67901,                0.95999,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0983,                 0.8222,                 1.0464,                      1,                0.88767,                0.94191,                0.69146,                0.97853,                0.79103,                0.98269,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0815,                0.83626,                 1.0437,                0.99429,                0.91358,                0.96425,                0.72348,                0.92465,                0.70026,                 0.9626,              0.0017228,              0.0017228,              0.0017228
